property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 26,20.0,44444.0,5,7,3+,3.0,Relatively Old,4500.0,0,1,0,1,0,0,97
flat,imperia the esfera,sector 37c,0.86,5450.0,2,3,3,9.0,Relatively Old,1442.0,1,0,0,0,1,1,49
flat,ansals highland park,dwarka expressway,1.2,6186.0,3,3,3+,4.0,Under Construction,1940.0,0,1,0,0,0,1,0
flat,breez global heights,sohna road,0.46,6479.0,2,2,2,6.0,Relatively Old,789.0,0,0,0,0,0,0,49
house,independent,sector 2,6.0,20000.0,4,4,1,2.0,Relatively Old,3000.0,0,0,0,0,0,1,0
flat,m3m golfestate,sector 65,5.4,18127.0,3,4,3,19.0,Moderate Old,2696.0,1,1,0,0,0,2,174
flat,rof ananda,sector 95,0.26,6032.0,1,1,1,8.0,New property,406.0,0,0,0,0,0,1,49
flat,sapphire eighty three,sector 83,0.65,9286.0,1,1,0,6.0,Relatively Old,700.0,0,0,0,0,0,1,0
flat,emaar the palm drive,sector 66,3.9,18634.0,3,4,3,2.0,Relatively Old,2200.0,0,0,0,0,0,1,0
house,independent,sector 7,3.1,13778.0,3,3,2,2.0,Old property,2250.0,0,0,0,0,0,1,22
house,independent,sohna road,1.55,14720.0,2,3,2,1.0,New property,1053.0,1,0,0,1,0,2,49
house,sobha city,sector 108,10.5,14323.0,5,4,3+,1.0,Relatively Old,7331.0,0,0,0,0,0,1,59
flat,godrej aria,sector 79,1.0,6653.0,2,2,2,4.0,Relatively Old,1300.0,1,0,0,0,0,1,49
flat,vatika independent floors,sector 82,1.16,6988.0,3,3,3+,1.0,Relatively Old,1844.0,0,1,1,1,0,2,151
flat,tata primanti,sector 72,5.0,11111.0,4,4,3+,2.0,Moderate Old,4500.0,1,1,0,1,1,2,174
house,independent,sector 38,4.0,21786.0,6,6,3+,4.0,Old property,1836.0,1,1,0,1,1,2,137
flat,m3m sierra 68,sector 68,1.2,9002.0,2,2,3,1.0,Relatively Old,982.0,0,0,0,0,0,0,76
flat,dlf the skycourt,sector 86,1.58,8191.0,3,3,1,16.0,Relatively Old,1750.0,0,0,0,1,0,2,152
flat,greenopolis,sector 89,0.8,4819.0,2,3,3,8.0,Under Construction,1502.0,1,0,0,0,1,1,60
flat,signature global park,sohna road,0.85,7863.0,3,2,2,4.0,New property,1080.0,0,0,0,0,0,1,23
flat,tulip violet,sector 69,1.4,8917.0,3,3,1,12.0,Relatively Old,1419.0,0,0,0,1,0,1,86
house,independent,sector 2,1.15,19360.0,3,3,2,2.0,Old property,594.0,0,0,0,0,0,2,32
flat,guru gram haryana cghs,sector 56,1.39,7228.0,3,3,3,4.0,Moderate Old,1738.0,1,0,0,0,0,2,134
flat,pioneer araya,sector 62,9.2,19944.0,4,6,3,5.0,Relatively Old,3867.0,0,1,0,1,0,2,156
flat,godrej frontier,sector 80,1.4,6189.0,3,4,2,10.0,Moderate Old,1854.0,0,0,1,1,0,1,111
flat,bptp astaire gardens,sector 70a,0.97,6585.0,3,3,3+,1.0,Relatively Old,1339.0,0,0,0,0,1,1,149
flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4.0,Relatively Old,1310.0,0,0,0,0,0,2,97
flat,signature global city 81,sector 81,0.8,14652.0,2,2,2,4.0,Under Construction,607.0,1,0,0,0,0,1,36
flat,raheja teachers apartments,sector 31,1.2,7273.0,3,2,2,1.0,Moderate Old,1450.0,0,0,0,0,1,0,105
house,independent,sector 23,5.5,21825.0,8,8,2,3.0,Moderate Old,2520.0,1,1,0,1,0,2,76
house,independent,sector 4,0.55,4074.0,3,3,2,2.0,Relatively Old,1350.0,0,0,0,0,1,1,7
house,palam vihar extension west zone rwa,sector 2,0.65,5778.0,2,2,1,1.0,Moderate Old,1125.0,0,0,1,0,0,1,23
flat,project krishna colony,sector 7,0.36,5143.0,2,2,1,0.0,Relatively Old,700.0,0,0,0,0,0,1,0
flat,emaar mgf palm terraces select,sector 66,3.4,14108.0,4,4,3+,2.0,Relatively Old,2210.0,0,1,0,0,0,2,157
house,independent,sohna road road,5.5,5093.0,3,3,3+,2.0,Moderate Old,3500.0,1,1,0,1,1,1,49
flat,tulip violet,sector 69,1.92,15360.0,4,4,2,0.0,Relatively Old,1389.0,0,0,0,0,0,1,174
flat,today callidora,sector 73,1.0,7692.0,2,2,2,13.0,New property,1444.0,0,0,0,0,0,1,0
flat,m3m sierra 68,sector 68,1.05,8537.0,2,2,2,11.0,New property,1200.0,0,0,0,0,0,2,127
house,sushant lok 1 builder floors,sector 43,1.65,3395.0,4,4,3+,4.0,Moderate Old,540.0,0,0,0,0,1,0,49
flat,pareena coban residences,sector 99a,1.4,7011.0,3,5,3+,6.0,New property,1807.0,0,0,0,0,0,1,15
flat,housing board colony,sector 51,0.3,7317.0,1,1,2,0.0,Old property,459.0,0,0,0,0,0,1,0
flat,m3m skycity,sector 65,1.8,13699.0,2,2,3,13.0,New property,1456.0,0,0,0,0,0,1,73
flat,ardee city,sector 52,1.55,7381.0,4,4,3,1.0,Moderate Old,2100.0,0,0,0,0,0,1,0
flat,ireo the corridors,sector 67a,1.5,11111.0,2,2,2,10.0,Relatively Old,1500.0,0,0,1,0,0,2,38
flat,raheja vedaanta,sector 108,1.5,5263.0,3,4,0,12.0,Relatively Old,2850.0,0,0,0,0,0,1,0
flat,zara aavaas,sector 104,0.22,7309.0,1,2,2,2.0,New property,335.0,0,0,0,0,0,1,60
flat,godrej nature plus,sector 33,1.5,9677.0,3,3,3,6.0,Under Construction,1403.0,1,0,0,0,0,1,72
flat,hcbs sports ville,sohna road,0.28,3769.0,2,2,1,11.0,Relatively Old,743.0,0,0,0,0,0,1,38
flat,shri banke bihari society,sector 56,1.35,6750.0,3,3,3,5.0,Old property,1800.0,0,0,0,0,1,2,82
flat,pareena coban residences,sector 99a,1.05,6774.0,2,2,3,2.0,Relatively Old,1390.0,1,0,0,0,0,1,49
flat,tulip violet,sector 69,3.05,9664.0,4,5,3+,14.0,Relatively Old,2856.0,0,1,0,0,1,1,49
flat,ireo skyon,sector 60,3.75,13393.0,4,4,3,12.0,Relatively Old,2650.0,0,1,0,0,0,2,49
flat,palam vihar society,sector 2,3.35,7444.0,4,4,3+,2.0,New property,5000.0,1,0,0,0,0,1,66
flat,emaar digihomes,sector 62,4.25,26562.0,3,3,3,8.0,Under Construction,1600.0,1,0,0,0,0,1,16
flat,maxworth city residences,sector 10a,0.8,6400.0,2,3,2,9.0,New property,1389.0,0,0,0,0,0,1,46
flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325.0,4,4,3+,3.0,Relatively Old,1734.0,0,0,0,0,0,1,93
flat,tulip lemon,sector 69,0.6,11407.0,2,1,1,11.0,Relatively Old,584.0,0,0,0,0,0,1,0
flat,unitech fresco,sector 50,1.82,9913.0,3,3,3+,14.0,Moderate Old,1830.0,0,0,0,0,1,2,174
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13929.0,3,3,3,6.0,New property,1616.0,0,0,0,1,0,2,174
house,independent,sector 105,1.15,3285.0,3,2,1,1.0,Moderate Old,3889.0,0,0,0,0,0,1,0
flat,vatika city homes,sector 83,0.8,6061.0,2,2,2,8.0,Moderate Old,1195.0,0,0,1,0,0,1,22
house,dlf city plots phase 4,sector 28,9.54,29444.0,6,5,3+,3.0,New property,3240.0,1,1,1,1,0,1,153
flat,kiran residency,sector 56,1.5,6649.0,3,5,3+,4.0,Moderate Old,2250.0,1,0,0,1,0,2,134
flat,ss the leaf,sector 85,1.58,7715.0,3,4,3,8.0,Relatively Old,2227.0,0,1,0,0,0,1,159
flat,orris aster court premier,sector 85,1.25,5896.0,3,4,2,6.0,Relatively Old,1616.0,0,1,0,0,0,2,49
flat,signature global city 92,sector 92,0.78,11143.0,2,2,3,2.0,Under Construction,846.0,0,0,0,0,1,1,24
flat,sare crescent parc,sector 92,0.65,4597.0,3,3,3,3.0,Moderate Old,1571.0,0,0,0,0,0,1,44
flat,experion windchants,sector 112,5.31,11205.0,4,6,3+,15.0,Relatively Old,3573.33,0,1,0,1,0,1,72
flat,tata primanti,sector 72,4.1,14099.0,4,5,3+,39.0,New property,2629.0,0,1,0,0,1,1,103
flat,shapoorji pallonji joyville gurugram,sector 102,1.26,10370.0,2,2,3,7.0,Relatively Old,1100.0,0,0,0,0,0,2,49
flat,paras quartier,gwal pahari,5.9,11028.0,4,4,3+,0.0,Moderate Old,5350.0,0,0,0,0,0,1,63
flat,ansal sushant lok ci,sector 43,2.0,15152.0,3,3,2,1.0,Old property,1467.0,0,1,0,0,0,0,15
flat,dlf the skycourt,sector 86,1.6,8294.0,3,3,3+,9.0,Relatively Old,1548.0,0,0,0,0,1,2,167
house,independent,sector 49,4.5,15625.0,8,8,3,3.0,Moderate Old,2880.0,1,1,1,1,0,0,151
flat,hcbs sports ville,sohna road,0.24,7407.0,1,1,2,1.0,New property,360.0,0,0,0,0,0,1,68
flat,imperia aashiyara,sector 37c,0.4,5882.0,2,2,3,3.0,Under Construction,756.0,0,0,0,0,0,1,126
house,independent,sector 36,0.66,7166.0,2,2,3,4.0,New property,823.0,0,0,0,0,0,1,0
flat,conscient elevate,sector 59,3.9,16993.0,3,1,0,0.0,Under Construction,2295.0,0,0,0,0,0,1,0
flat,aipl club residences,sector 70a,0.85,9140.0,2,2,2,5.0,Relatively Old,842.0,0,0,0,0,0,2,45
flat,pivotal devaan,sector 84,0.35,7277.0,2,2,1,10.0,Relatively Old,531.0,0,0,1,0,0,1,103
flat,the lions cghs,sector 56,1.99,11056.0,4,4,3+,4.0,Old property,2000.0,0,0,0,1,1,2,105
flat,supertech araville,sector 79,0.71,6063.0,2,2,3+,17.0,New property,1280.0,0,0,0,0,1,1,53
flat,godrej summit,sector 104,0.85,5878.0,2,2,3+,10.0,Relatively Old,1269.0,1,0,0,0,0,1,79
house,independent,sector 7,6.5,15046.0,3,2,3+,2.0,Old property,4320.0,0,0,0,0,0,1,9
flat,aipl joy square,sector 63a,0.7,10101.0,1,1,0,7.0,Under Construction,693.0,0,0,0,0,0,1,0
house,ss hibiscus,sector 50,12.25,20940.0,5,7,3+,1.0,Relatively Old,5850.0,1,1,0,1,1,2,160
flat,m3m sky lofts,sector 71,1.0,11494.0,1,1,1,9.0,Moderate Old,869.0,0,0,0,0,0,1,77
flat,m3m urbana,sector 67,0.95,10894.0,1,1,1,17.0,Relatively Old,826.0,0,0,0,0,0,1,49
house,independent,sector 15,1.07,11889.0,2,2,1,1.0,Old property,900.0,0,1,0,0,0,1,7
flat,pyramid urban homes 2,sector 86,0.5,9615.0,2,2,1,10.0,Relatively Old,578.0,0,0,0,0,0,1,15
flat,eldeco accolade,sohna road,1.35,6136.0,3,3,3,2.0,New property,2444.0,0,1,0,0,0,1,72
flat,dlf the crest,sector 54,11.0,35484.0,4,5,3+,7.0,Relatively Old,3444.0,1,1,0,1,0,1,49
flat,adani brahma samsara vilasa,sector 63,3.0,16667.0,3,3,3,3.0,New property,2000.0,0,0,0,0,0,1,24
flat,shree vardhman victoria,sector 70,1.55,7949.0,3,5,3,8.0,Relatively Old,1527.0,0,1,0,0,0,1,174
flat,ats triumph,sector 104,1.75,7642.0,3,4,3+,11.0,Relatively Old,2072.0,0,1,0,0,0,1,110
house,independent,sector 10a,4.25,17955.0,4,3,2,1.0,Moderate Old,2367.0,0,0,0,0,0,1,0
flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,2,2,2,2.0,Relatively Old,778.0,0,0,0,0,0,1,0
flat,godrej aria,sector 79,1.95,8519.0,3,4,3+,10.0,New property,1659.0,0,1,0,0,0,1,32
flat,parsvnath green ville,sector 48,3.3,9985.0,5,5,3+,4.0,Old property,3305.0,0,1,0,0,0,1,71
flat,mittal cosmos executive apartments,sector 2,0.75,6550.0,2,2,2,15.0,Old property,1100.0,0,0,0,0,0,2,42
flat,ramprastha the edge towers,sector 37d,1.1,5528.0,3,3,3,9.0,Relatively Old,1990.0,0,0,0,0,0,1,63
flat,shree vardhman victoria,sector 70,1.6,8205.0,3,5,3,6.0,Relatively Old,1527.0,0,1,0,0,0,1,108
house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,35000.0,7,9,3+,3.0,Moderate Old,9000.0,1,1,1,1,0,0,74
flat,m3m woodshire,sector 107,0.9,5867.0,2,2,3,8.0,Relatively Old,1281.0,1,0,0,0,0,2,74
flat,bptp terra,sector 37d,1.78,8124.0,4,3,3,10.0,Relatively Old,1983.0,0,1,0,0,0,1,127
flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3,3,3,1.0,Relatively Old,1531.0,0,0,0,0,0,1,141
flat,capital residences 360,sector 70a,1.69,8553.0,3,3,3+,8.0,New property,1900.0,0,1,0,0,0,1,165
flat,m3m merlin,sector 67,3.39,14377.0,3,4,3,14.0,Relatively Old,2100.0,0,1,0,0,0,2,26
flat,adani aangan galleria,sector 89,0.42,4941.0,2,2,2,3.0,Relatively Old,769.0,0,0,0,0,0,1,0
flat,conscient heritage max,sector 102,1.78,9218.0,3,4,3+,5.0,Moderate Old,1748.0,0,1,0,0,0,1,125
flat,mvn athens,sohna road,0.25,4259.0,2,2,1,0.0,Relatively Old,587.0,0,0,0,0,0,1,38
flat,paras dews,sector 106,1.25,7102.0,3,4,3+,5.0,Relatively Old,1186.0,0,1,0,0,0,1,165
flat,sbtl caladium,sector 109,1.26,6542.0,3,2,3,8.0,Relatively Old,1701.0,0,0,0,0,0,1,103
flat,new sathi apartments,sector 54,1.59,7067.0,3,3,3+,3.0,Moderate Old,2250.0,1,0,0,0,0,2,127
flat,emaar palm gardens,sector 83,1.8,9474.0,3,4,3,4.0,Relatively Old,1551.0,1,1,1,1,0,2,174
house,independent,sector 14,6.46,18889.0,5,5,2,3.0,Moderate Old,3420.0,1,1,0,1,0,2,27
flat,godrej aria,sector 79,1.3,8844.0,2,2,2,7.0,Relatively Old,1330.0,1,0,0,0,0,2,116
flat,ss almeria,sector 84,1.5,7500.0,3,3,3,2.0,New property,1849.0,0,1,0,0,0,1,108
house,independent,sector 105,1.2,13333.0,4,4,1,2.0,Moderate Old,900.0,0,0,0,0,1,1,14
flat,birla navya,sector 63a,2.2,17488.0,2,3,3+,4.0,Under Construction,997.0,0,0,0,0,0,1,60
flat,pyramid urban,sector 67a,0.6,8571.0,2,2,2,14.0,New property,633.0,0,0,0,0,0,1,15
flat,ireo the grand arch,sector 58,3.8,17560.0,3,4,1,19.0,Moderate Old,2164.0,0,1,0,0,0,2,167
flat,unitech vistas,sector 70,0.99,6326.0,3,4,2,11.0,Under Construction,1416.0,0,0,0,0,0,1,0
flat,mapsko mount ville,sector 79,1.3,8025.0,3,3,2,6.0,Relatively Old,1215.0,1,0,0,1,0,1,151
flat,orchid island,sector 51,0.71,7889.0,2,2,1,4.0,Relatively Old,1007.0,0,0,0,0,0,1,23
flat,ramprastha the edge towers,sector 37d,1.0,5650.0,3,3,3+,13.0,Moderate Old,1602.0,0,0,0,0,0,1,38
flat,smart world orchard,sector 61,1.6,13913.0,2,2,2,4.0,New property,1278.0,1,0,0,0,1,1,29
flat,godrej oasis,sector 88a,1.29,7799.0,3,3,3,5.0,New property,1642.0,1,0,0,0,1,1,65
flat,supertech hues,sector 68,1.0,8475.0,2,2,2,12.0,New property,1311.0,0,0,0,0,0,1,54
house,independent,sector 8,0.82,10224.0,2,4,0,2.0,Moderate Old,891.0,0,0,0,0,0,1,0
flat,puri emerald bay,sector 104,2.45,10000.0,3,4,3+,14.0,Relatively Old,2131.0,0,1,0,0,0,2,56
flat,emaar palm gardens,sector 83,1.76,9263.0,3,3,3,6.0,Relatively Old,1500.0,0,1,0,0,0,2,165
flat,m3m skywalk,sector 74,1.6,11380.0,2,2,2,28.0,New property,1272.0,0,0,0,0,0,1,15
house,independent,sohna road road,0.95,8920.0,3,10,3+,3.0,New property,1065.0,0,0,0,0,0,1,0
flat,raheja atharva,sector 109,0.79,7932.0,3,2,2,3.0,Relatively Old,1213.0,0,0,0,0,0,2,44
flat,ansal heights 86,sector 86,1.3,4666.0,4,6,2,11.0,New property,2521.0,0,1,0,0,1,1,86
flat,m3m skywalk,sector 74,2.25,12500.0,3,3,3,5.0,Relatively Old,1900.0,1,0,0,0,0,1,174
flat,signature global park,sohna road,0.65,7295.0,2,2,3,1.0,New property,822.0,0,0,0,0,0,1,58
flat,vipul lavanya,sector 81,0.75,5967.0,2,2,2,7.0,Moderate Old,1397.0,0,0,0,0,0,1,37
flat,tulip violet,sector 69,3.1,9823.0,4,6,3+,14.0,Relatively Old,2817.0,0,1,0,1,0,1,174
flat,tata primanti,sector 72,4.1,13726.0,3,3,3,8.0,Moderate Old,2308.0,0,1,0,0,0,1,38
flat,emaar imperial gardens,sector 102,1.98,9900.0,3,3,3+,9.0,Relatively Old,2222.0,0,1,0,0,0,2,72
flat,m3m heights,sector 65,2.44,13297.0,3,3,2,7.0,Under Construction,1654.0,0,0,0,0,0,1,31
flat,allure homes,sector 12,0.72,7273.0,2,2,1,2.0,Relatively Old,1100.0,0,0,0,0,1,2,16
flat,emaar mgf the palm drive,sector 66,2.99,14950.0,3,3,3,7.0,Relatively Old,2000.0,0,1,0,0,0,2,49
flat,bptp terra,sector 37d,1.49,8107.0,3,3,3,20.0,Relatively Old,1707.0,0,0,0,0,1,1,49
flat,tulip purple,sector 69,2.6,10833.0,4,4,3+,4.0,Moderate Old,2172.0,0,1,0,0,0,1,37
flat,emaar mgf emerald floors premier,sector 65,2.0,12121.0,3,3,3,1.0,Relatively Old,1833.0,0,1,0,0,0,2,124
house,ardee city,sector 52,5.5,20370.0,9,9,3+,3.0,Moderate Old,2700.0,0,1,0,1,1,2,26
flat,millenia,sector 37c,0.4,6667.0,2,2,2,4.0,New property,667.0,0,0,0,0,0,1,29
flat,shree vardhman flora,sector 90,0.92,4718.0,3,3,2,6.0,Relatively Old,2167.0,1,0,0,0,0,2,49
flat,suncity vatsal valley,gwal pahari,1.53,10699.0,3,3,3,2.0,New property,1589.0,0,0,0,0,0,2,117
flat,paras dews,sector 106,0.88,6354.0,2,2,3+,3.0,Relatively Old,1120.0,0,0,0,0,0,1,49
flat,bptp amstoria,sector 102,1.9,8444.0,3,3,3+,1.0,Relatively Old,2500.0,0,1,0,0,0,1,174
house,independent,sector 46,5.65,23870.0,8,6,3+,3.0,Moderate Old,2367.0,0,1,0,0,0,2,67
flat,signature global orchard avenue,sector 93,0.4,5479.0,2,2,0,0.0,Relatively Old,730.0,0,0,0,0,0,1,0
house,independent,sector 24,5.25,38889.0,4,4,3+,2.0,Relatively Old,1350.0,0,1,0,1,0,2,72
flat,ireo victory valley,sector 67,3.05,16267.0,3,4,2,35.0,Relatively Old,2200.0,1,1,0,0,0,2,165
flat,m3m skywalk,sector 74,1.6,9512.0,2,2,2,26.0,Relatively Old,1508.0,0,0,0,0,0,2,158
house,independent,sector 54,3.51,12342.0,4,4,3,4.0,New property,2844.0,0,1,0,0,0,1,73
house,independent,sector 10a,3.6,19608.0,3,4,3,3.0,Moderate Old,1836.0,0,0,0,1,0,2,28
flat,godrej aria,sector 79,1.1,11482.0,2,2,3,9.0,New property,81.0,0,0,0,0,0,1,62
flat,m3m woodshire,sector 107,1.02,6649.0,2,2,3,6.0,Relatively Old,1388.0,1,0,0,0,0,1,112
flat,bestech park view ananda,sector 81,0.95,6985.0,2,2,2,14.0,Relatively Old,1260.0,0,0,0,0,0,2,165
flat,signature global park,sohna road,0.55,6691.0,2,2,3,3.0,Relatively Old,913.0,0,0,0,0,0,1,58
flat,smart world gems,sector 89,1.25,8784.0,3,3,3,2.0,Under Construction,1288.0,0,0,0,1,0,1,12
house,independent,sector 4,0.92,15257.0,1,4,3,4.0,Moderate Old,603.0,0,0,0,0,1,1,0
flat,shree vardhman flora,sector 90,0.65,4815.0,2,2,3,3.0,Relatively Old,1222.0,1,0,0,0,0,1,106
flat,shree arihant apartment,sector 54,1.5,8108.0,3,3,3+,4.0,Moderate Old,1700.0,0,0,0,1,0,2,75
flat,hcbs sports ville,sohna road,0.22,3143.0,1,1,1,1.0,New property,778.0,0,0,0,0,0,1,86
flat,godrej summit,sector 104,0.82,9856.0,2,2,3,12.0,Relatively Old,86.0,1,0,0,0,0,1,120
flat,ats kocoon,sector 109,2.95,10351.0,4,4,3+,7.0,Relatively Old,3150.0,0,1,1,0,0,2,158
flat,ansal heights 86,sector 86,0.87,5367.0,2,2,1,12.0,New property,1231.0,0,0,0,0,1,2,45
flat,emaar mgf emerald floors premier,sector 65,2.3,13939.0,3,4,3,3.0,Relatively Old,1833.0,1,1,1,1,0,0,174
flat,m3m heights,sector 65,2.33,18477.0,2,2,3,35.0,Under Construction,1141.0,0,0,0,0,0,2,49
flat,ats tourmaline,sector 109,1.75,8140.0,3,4,3+,9.0,Relatively Old,1946.0,0,1,0,0,0,1,94
flat,emaar gurgaon greens,sector 102,1.39,8424.0,3,3,3,7.0,Relatively Old,1493.0,0,1,0,0,0,2,21
flat,valley view estate,gwal pahari,0.38,6090.0,1,1,1,11.0,Moderate Old,565.0,0,0,0,0,0,1,42
flat,signature global park,sohna road,0.78,6446.0,3,3,3,3.0,Relatively Old,1344.0,0,0,0,1,0,1,150
flat,dhoot time residency,sector 63,2.2,12813.0,3,4,3+,8.0,Moderate Old,1554.0,1,0,0,0,0,2,61
flat,godrej nature plus,sector 33,1.67,10503.0,3,2,2,18.0,Under Construction,1857.0,0,0,0,0,0,1,67
house,independent,sector 28,12.0,42194.0,4,5,3+,4.0,Relatively Old,2844.0,0,1,1,1,0,2,60
flat,avl 36 gurgaon,sector 36a,0.45,9000.0,1,1,1,9.0,Relatively Old,452.0,0,0,0,0,0,1,0
flat,the close north,sector 50,2.35,11358.0,3,3,3,8.0,Moderate Old,1900.0,0,0,0,0,0,2,49
flat,parsvnath green ville,sector 48,2.0,7764.0,3,3,0,15.0,Relatively Old,1923.0,0,1,0,0,0,1,74
flat,valley view estate,gwal pahari,1.5,8278.0,4,4,3+,9.0,Old property,2013.0,1,1,0,0,1,1,135
flat,la vida by tata housing,sector 113,1.9,18500.0,3,2,2,10.0,Relatively Old,1285.0,0,0,0,1,0,2,174
flat,signature global solera,sector 107,0.49,8221.0,2,2,1,8.0,Relatively Old,598.0,0,0,0,0,1,0,49
flat,suncity vatsal valley,gwal pahari,1.45,10140.0,3,3,3,4.0,Under Construction,1430.0,0,0,0,0,0,1,49
flat,tulip violet,sector 69,1.43,8888.0,3,3,2,1.0,Relatively Old,1305.0,0,0,0,1,0,1,86
flat,mapsko mount ville,sector 79,1.4,9396.0,3,3,3,2.0,New property,1656.0,0,0,0,0,0,2,112
flat,krrish provence estate,gwal pahari,5.25,9052.0,4,5,3+,2.0,New property,5249.0,1,1,0,1,0,1,49
flat,tulip violet,sector 69,1.9,9453.0,4,4,2,0.0,Relatively Old,1819.0,0,0,0,0,0,1,49
flat,ats triumph,sector 104,1.75,7642.0,3,4,3+,12.0,Relatively Old,2036.0,1,1,0,1,1,2,21
house,central park flower valley,sector 33,1.15,9350.0,2,2,3,2.0,Relatively Old,1400.0,1,0,0,0,0,2,71
flat,takshila heights sector 37 c,sector 37,0.67,5583.0,2,2,2,3.0,Relatively Old,1086.0,0,0,0,0,0,1,23
flat,rof ananda,sector 95,0.2,5602.0,1,1,1,2.0,Relatively Old,407.0,0,0,0,1,0,1,53
flat,tulip violet,sector 69,1.68,10072.0,3,3,2,0.0,Relatively Old,1510.0,0,0,0,0,0,1,157
house,dlf city plots phase 2,sector 25,6.3,35000.0,4,4,3+,2.0,Old property,1800.0,0,1,1,0,0,1,89
flat,tulip white,sector 69,0.9,6000.0,3,2,3+,1.0,Relatively Old,1326.0,0,0,0,0,0,2,149
flat,mvn athens,sohna road,0.26,5394.0,2,2,1,2.0,Relatively Old,535.0,0,0,0,0,0,1,37
flat,ireo the corridors,sector 67a,1.6,9265.0,3,3,2,3.0,New property,1346.0,0,0,1,0,0,2,142
flat,m3m the tree of life,sector 111,2.35,14551.0,3,3,3+,5.0,Under Construction,1615.0,0,0,0,0,0,1,0
flat,ats tourmaline,sector 109,1.45,6744.0,3,4,3+,4.0,Relatively Old,1797.0,0,1,0,0,0,1,71
house,independent,sector 4,2.35,16319.0,4,4,2,2.0,Old property,1440.0,0,0,0,1,0,1,43
flat,smart world gems,sector 89,1.2,8433.0,3,3,2,3.0,New property,1423.0,1,0,0,0,1,1,37
house,independent,sector 45,16.0,35003.0,6,7,3+,3.0,Relatively Old,4500.0,1,1,1,1,0,2,105
flat,laxmi pareena,sector 99a,0.3,6667.0,2,1,0,12.0,New property,500.0,0,0,0,0,0,1,0
flat,vatika lifestyle homes,sector 83,1.3,4545.0,3,3,1,6.0,Relatively Old,2588.0,0,0,0,0,0,1,79
flat,pivotal riddhi siddhi,sector 99,0.4,4444.0,2,2,2,9.0,New property,733.0,0,0,0,0,0,1,60
flat,earth copia,sector 112,0.7,4673.0,2,2,2,4.0,Relatively Old,1498.0,0,0,0,0,0,1,65
house,independent,sector 3,0.55,7333.0,1,1,0,1.0,Moderate Old,750.0,0,0,0,0,0,1,0
house,independent,sector 7,2.0,13889.0,2,2,2,2.0,Old property,1440.0,0,0,0,0,0,1,22
house,independent,sector 4,0.8,11852.0,2,3,1,2.0,Moderate Old,675.0,0,0,0,0,0,1,0
flat,palam vihar extension west zone rwa,sector 2,0.2,4000.0,1,1,1,1.0,Moderate Old,556.0,0,0,0,0,1,1,0
house,international city by sobha phase 1,sector 109,6.0,9634.0,4,5,3,2.0,Moderate Old,6228.0,0,0,0,0,0,1,76
flat,orris carnation residency,sector 85,0.88,5954.0,3,3,1,1.0,Relatively Old,1344.0,0,0,0,0,0,1,65
flat,emaar gurgaon greens,sector 102,1.4,13685.0,3,3,3,7.0,Relatively Old,1315.0,0,1,0,0,0,1,67
flat,sobha city,sector 108,3.35,13267.0,3,4,2,19.0,New property,2525.0,0,0,0,0,0,1,102
flat,shapoorji pallonji joyville gurugram,sector 102,1.76,10227.0,3,3,3,1.0,Relatively Old,1531.0,0,0,0,0,0,1,100
flat,raheja vanya,sector 99a,0.85,6789.0,2,2,2,3.0,New property,1133.0,0,0,0,0,0,1,43
flat,not applicable,sector 4,0.42,5600.0,2,2,1,3.0,Relatively Old,833.0,0,0,0,0,0,2,26
house,independent,sector 7,1.55,13889.0,2,2,2,1.0,Moderate Old,1080.0,0,0,0,0,0,2,52
flat,ansal heights 86,sector 86,0.78,5735.0,2,2,1,8.0,New property,1231.0,0,0,0,0,0,1,67
flat,ashiana anmol,sector 33,1.1,8627.0,2,2,2,4.0,Under Construction,1275.0,0,0,0,0,0,1,0
flat,tulip violet,sector 69,1.42,8999.0,3,3,2,8.0,Relatively Old,1428.0,0,0,0,1,0,2,94
flat,raheja vedaanta,sector 108,0.7,4651.0,2,2,2,12.0,Moderate Old,1362.0,0,0,0,0,0,1,72
flat,navjyoti apartment,sector 38,2.1,11939.0,4,4,3+,10.0,Old property,1954.0,0,0,0,0,0,0,22
house,unitech espace,sector 50,7.5,34722.0,3,3,2,2.0,Moderate Old,2160.0,0,1,0,0,0,2,66
flat,sare homes,sector 92,0.95,4750.0,4,3,2,17.0,New property,1983.0,0,0,0,0,0,1,7
flat,jmd gardens,sector 33,3.25,7509.0,4,4,3+,17.0,Old property,4809.0,0,1,0,0,0,2,130
flat,sukhshanti apartment,sector 56,1.7,7727.0,3,3,3,4.0,Moderate Old,2200.0,1,0,0,0,0,1,49
flat,godrej oasis,sector 88a,1.19,10162.0,2,2,3,15.0,Relatively Old,1387.0,1,0,0,1,0,2,174
house,independent,sector 23,1.2,6231.0,3,2,2,3.0,New property,1500.0,0,0,0,0,0,2,79
