property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,capital residences 360,sector 70a,1.15,11500.0,2,2,3,4.0,New property,1400.0,0,0,0,1,0,1,132
flat,ss the leaf,sector 85,1.77,7350.0,3,4,3+,7.0,New property,2179.0,0,0,1,0,0,1,107
flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,2,2,1,2.0,Old property,734.0,0,0,0,0,1,2,49
flat,m3m woodshire,sector 107,0.9,6589.0,2,2,3+,10.0,Relatively Old,1236.0,0,0,0,0,1,2,49
flat,godrej habitat,sector 3,1.2,8310.0,2,2,3,0.0,Under Construction,1307.0,0,0,0,0,0,1,60
flat,ansal api celebrity suites,sector 2,0.6,8163.0,1,1,1,5.0,Moderate Old,665.0,0,0,0,0,0,2,88
house,independent,sector 41,9.0,27778.0,8,5,3+,3.0,Old property,3240.0,0,1,1,1,0,2,26
house,independent,sector 41,7.0,28283.0,7,7,3+,3.0,Moderate Old,2475.0,1,1,1,1,0,0,151
flat,chanderlok society,sector 28,0.9,7235.0,4,2,3+,1.0,Old property,1382.0,0,0,0,0,0,1,0
house,independent,sector 4,0.4,8889.0,1,1,0,1.0,Moderate Old,450.0,0,0,0,0,0,1,0
house,international city by sobha phase 2,sector 109,5.65,10463.0,4,4,3+,2.0,New property,5400.0,0,1,0,0,1,2,44
flat,emaar digihomes,sector 62,2.15,14257.0,2,2,3,31.0,Under Construction,1676.0,0,0,0,0,0,1,101
house,uppal southend,sector 49,4.4,15278.0,6,6,3,3.0,Moderate Old,2880.0,1,1,1,1,0,0,110
flat,vipul lavanya,sector 81,0.64,5263.0,2,2,3,12.0,Relatively Old,1361.0,0,0,0,0,0,2,93
flat,m3m heights,sector 65,2.86,13999.0,3,3,3,45.0,Under Construction,2267.0,0,1,0,0,0,1,48
flat,emaar mgf the palm drive,sector 66,3.5,15909.0,3,3,3,7.0,Moderate Old,2125.0,0,1,1,0,0,2,149
house,greenopolis,sector 89,0.7,5397.0,2,2,2,14.0,New property,1297.0,0,0,0,0,0,1,0
flat,dlf the skycourt,sector 86,1.54,9222.0,3,3,3+,15.0,Relatively Old,1780.0,0,1,0,0,0,1,174
house,vipul tatvam villa,sector 48,8.25,38194.0,4,4,3+,3.0,Relatively Old,2160.0,0,1,1,0,0,2,160
house,international city by sobha phase 1,sector 109,6.1,25103.0,5,6,3+,2.0,Moderate Old,2430.0,0,1,0,0,0,1,30
flat,the arzoo cghs,sector 51,2.1,9130.0,4,4,3,1.0,Relatively Old,2300.0,0,0,0,0,0,1,58
flat,corona optus,sector 37c,1.25,7176.0,3,3,3,2.0,Relatively Old,1563.0,1,0,0,0,0,1,49
flat,lotus homz,sector 111,0.7,10057.0,2,2,2,8.0,Relatively Old,773.0,0,0,0,0,0,1,68
flat,m3m merlin,sector 67,2.8,13679.0,3,3,3,5.0,Moderate Old,2047.0,0,1,0,0,0,0,26
house,housing board colony,sector 28,5.5,30556.0,4,3,3,2.0,Old property,1800.0,0,0,0,1,1,2,22
flat,puri diplomatic greens,sector 111,2.58,11727.0,3,4,2,10.0,Moderate Old,2200.0,0,1,0,0,0,1,86
flat,la vida by tata housing,sector 113,3.0,14286.0,3,3,3+,3.0,Relatively Old,2460.0,0,1,0,0,0,1,167
house,ganpati heights apartment,sector 13,1.25,12077.0,3,6,2,3.0,Old property,115.0,0,0,0,0,1,1,7
flat,smart world orchard,sector 61,2.1,13752.0,3,2,3,3.0,Under Construction,1534.0,0,0,0,0,0,1,146
flat,tata gurgaon gateway,sector 113,2.45,10788.0,3,3,3,8.0,Relatively Old,2014.0,0,0,0,0,0,1,110
flat,tulip violet,sector 69,1.38,8973.0,3,3,1,12.0,Relatively Old,1709.0,0,0,0,0,0,1,174
flat,smart world gems,sector 89,1.71,12000.0,3,2,0,3.0,New property,1423.0,0,0,0,0,0,1,45
flat,ireo the corridors,sector 67a,1.85,9531.0,3,4,3,4.0,New property,1941.0,1,0,1,0,0,2,150
flat,signature global the millennia,sector 37d,0.6,9231.0,2,2,3,7.0,New property,625.0,0,0,0,0,0,1,35
flat,vatika the seven lamps,sector 82,0.81,6193.0,2,2,2,15.0,Relatively Old,1176.0,0,0,0,0,0,2,117
flat,tulip monsella,sector 53,5.6,19364.0,3,3,3+,1.0,Under Construction,2617.0,0,0,0,0,0,1,42
flat,m3m skywalk,sector 74,1.5,12500.0,2,2,3,17.0,Relatively Old,1300.0,0,0,1,0,0,1,174
flat,bptp terra,sector 37d,1.45,8007.0,3,3,3,9.0,Relatively Old,1639.0,0,0,0,0,0,1,107
flat,experion the heartsong,sector 108,1.65,8238.0,3,4,3,3.0,Moderate Old,1771.32,1,0,0,0,0,2,75
flat,huda housing board society,sector 52,0.45,9740.0,1,1,0,0.0,Moderate Old,513.0,0,0,0,1,0,2,43
flat,shri balaji apartment,sector 12,0.35,4037.0,2,2,1,1.0,Moderate Old,737.0,0,0,0,0,0,1,23
house,independent,sector 43,5.75,23663.0,4,4,2,4.0,Under Construction,2430.0,0,1,1,0,0,0,153
flat,ss the leaf,sector 85,1.12,6452.0,2,2,3,10.0,Relatively Old,1485.0,0,0,0,0,1,1,49
flat,avl 36 gurgaon,sector 36a,0.75,7500.0,2,2,2,5.0,Relatively Old,856.0,0,0,0,0,0,1,26
flat,adani aangan galleria,sector 89,0.25,5000.0,1,1,1,6.0,New property,430.0,0,0,0,0,0,1,74
house,independent,sector 4,0.67,8557.0,3,2,1,1.0,Moderate Old,783.0,0,0,0,1,1,1,19
flat,bestech park view residency,sector 2,0.56,8629.0,1,1,2,6.0,Moderate Old,723.0,0,0,0,0,0,1,77
flat,aipl zen residences,sector 70a,1.75,10258.0,3,4,3+,20.0,Relatively Old,1706.0,0,0,0,0,1,0,49
house,independent,sector 14,4.15,18444.0,5,4,2,2.0,Old property,2250.0,0,0,0,0,0,2,51
flat,m3m merlin,sector 67,3.4,14419.0,3,4,3,17.0,Relatively Old,2134.0,0,1,0,0,0,2,174
flat,dlf the ultima,sector 81,2.3,10937.0,3,3,3+,19.0,Relatively Old,1617.0,1,1,0,1,1,0,49
house,independent,sector 25,7.6,38756.0,2,9,3,4.0,Relatively Old,1961.0,1,0,1,1,0,2,84
flat,rof ananda,sector 95,0.32,5735.0,2,2,1,10.0,Relatively Old,610.0,0,0,0,1,0,2,50
flat,rof aalayas,sector 102,0.45,6000.0,1,1,2,6.0,Relatively Old,750.0,0,0,0,0,0,1,0
house,independent,sector 56,2.99,20635.0,4,4,2,2.0,Moderate Old,1449.0,1,1,0,1,0,2,49
flat,ats tourmaline,sector 109,1.5,6977.0,3,4,3+,4.0,Relatively Old,1797.0,0,1,0,0,0,1,39
house,dlf south city 1,sector 41,2.65,18929.0,3,3,3,4.0,New property,1400.0,0,1,0,0,0,2,22
house,bhim garh kheri,sector 3,1.5,7576.0,7,2,0,1.0,Moderate Old,1980.0,0,0,0,0,0,1,0
flat,dlf the skycourt,sector 86,1.5,7895.0,3,3,1,16.0,Relatively Old,1719.0,0,0,0,0,1,1,49
flat,central park resorts,sector 48,9.3,24926.0,4,4,3+,10.0,Moderate Old,3831.0,1,1,1,1,0,2,67
flat,ss the leaf,sector 83,1.19,7225.0,2,2,3,4.0,Relatively Old,1630.0,0,0,0,0,0,1,49
flat,signature global solera,sector 107,0.5,4762.0,3,2,2,5.0,Relatively Old,850.0,0,0,0,0,1,1,35
flat,hero homes,sector 104,1.4,15819.0,3,2,2,4.0,Under Construction,1120.0,0,0,0,0,0,1,49
flat,godrej oasis,sector 88a,1.0,6897.0,2,2,3,7.0,Relatively Old,1611.0,1,0,0,0,0,1,72
flat,eldeco accolade,sohna road,1.3,7424.0,3,3,3+,10.0,Relatively Old,1509.0,0,0,0,0,0,1,49
flat,orris carnation residency,sector 85,0.9,6429.0,3,3,2,12.0,Relatively Old,1402.0,0,0,0,0,0,1,120
house,independent,sector 105,0.5,5556.0,2,2,0,1.0,Moderate Old,100.0,0,0,0,0,0,1,0
flat,vatika gurgaon,sector 83,1.15,5808.0,3,3,2,3.0,Relatively Old,1350.0,1,1,1,1,0,2,165
flat,tulip violet,sector 69,1.36,8619.0,3,3,2,12.0,Relatively Old,1428.0,0,0,0,1,0,2,49
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,2,2,3,0.0,Relatively Old,1286.0,0,0,0,0,0,1,80
house,independent,sector 55,2.8,18667.0,4,4,0,2.0,Old property,1500.0,0,0,0,0,0,1,0
house,unitech espace,sector 50,10.45,32253.0,5,7,3+,3.0,Moderate Old,3240.0,1,1,0,1,1,2,153
flat,pivotal devaan,sector 84,0.34,7039.0,2,2,1,1.0,Relatively Old,537.0,0,0,1,0,0,2,84
flat,pivotal devaan apartments,sector 84,0.39,6500.0,2,2,0,5.0,Relatively Old,549.0,0,0,0,0,0,1,0
house,independent,sector 4,1.1,11111.0,3,4,1,2.0,Moderate Old,990.0,0,0,0,0,0,1,0
flat,gls arawali homes,sohna road,0.35,6076.0,2,2,2,12.0,New property,521.0,0,0,0,0,0,1,42
flat,tarc maceo,sector 91,1.75,11118.0,4,3,3+,8.0,Relatively Old,2107.0,1,1,1,1,0,1,128
flat,vatika city,sector 49,2.1,10417.0,3,3,3,9.0,Moderate Old,1604.25,0,0,0,1,0,2,132
flat,central park resorts,sector 48,3.65,15240.0,3,3,3+,9.0,Relatively Old,2395.0,0,0,0,0,1,2,157
flat,ashiana mulberry,sohna road,0.95,6485.0,2,2,3+,3.0,New property,1175.97,1,0,0,0,0,1,89
flat,tulip violet,sector 69,1.29,8227.0,3,3,1,12.0,Relatively Old,1419.0,0,0,0,1,0,2,86
house,suncity avenue 76,sector 76,0.75,10067.0,2,2,2,11.0,New property,745.0,0,0,0,0,0,1,40
flat,dlf the primus,sector 82a,1.85,10283.0,3,3,3+,2.0,Relatively Old,1668.0,0,0,0,0,0,2,44
flat,umang monsoon breeze,sector 78,0.7,5719.0,2,2,2,5.0,Moderate Old,1224.0,0,0,0,0,0,1,0
flat,rof ananda,sector 95,0.32,5829.0,2,2,1,9.0,Relatively Old,610.0,0,0,0,1,0,2,71
flat,the crew bos chs manesar,manesar,0.85,3696.0,3,3,2,2.0,Moderate Old,2556.0,0,0,0,0,0,1,44
flat,spaze privvy the address,sector 93,1.25,5700.0,4,4,3,16.0,Relatively Old,2105.0,0,0,0,0,0,1,0
flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,2,2,1,3.0,Relatively Old,1000.0,0,0,0,0,0,1,70
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,8.0,Relatively Old,1084.0,0,0,0,0,1,1,0
house,independent,sector 25,10.0,37037.0,5,5,3+,3.0,Moderate Old,9500.0,0,1,0,1,0,0,29
flat,park royal apartment,sector 56,1.71,7600.0,3,3,3+,5.0,Moderate Old,2251.0,0,1,0,0,0,2,118
flat,mahindra aura,sector 110,1.4,9655.0,3,3,3,10.0,Relatively Old,1550.0,0,0,0,0,0,2,142
flat,ireo victory valley,sector 67,3.65,13529.0,3,4,3+,18.0,Relatively Old,2490.0,0,1,0,1,0,2,61
flat,signature global solera,sector 107,0.6,8000.0,3,2,2,8.0,Relatively Old,750.0,0,0,0,0,0,1,55
flat,tulip violet,sector 69,1.44,9125.0,3,3,2,1.0,Relatively Old,1381.0,0,0,0,1,0,1,174
flat,m3m capital,sector 113,2.37,11499.0,4,4,3+,20.0,Under Construction,2060.0,1,0,0,0,0,1,143
flat,zara aavaas,sector 104,0.2,6645.0,1,2,2,3.0,New property,334.0,0,0,0,0,0,1,67
flat,godrej nature plus,sector 33,1.5,10197.0,2,2,3+,2.0,Under Construction,1539.0,0,0,0,0,0,1,87
flat,m3m capital,sector 113,1.83,13969.0,2,2,0,7.0,New property,1310.0,0,0,0,0,0,1,68
house,independent,sector 4,3.2,14222.0,3,3,2,2.0,Old property,2250.0,0,0,0,0,0,1,13
flat,breez global heights 88a,sector 88a,0.5,8375.0,3,2,2,2.0,Under Construction,663.0,0,0,0,0,0,1,15
flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,0.0,Old property,2900.0,0,0,0,0,0,1,0
flat,adani m2k oyster grande,sector 102,4.55,10000.0,4,4,3+,11.0,Relatively Old,4630.0,0,0,0,0,0,2,60
flat,vatika city,sector 49,1.72,7818.0,3,3,2,2.0,Old property,2444.0,0,0,0,0,0,2,144
flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,1.0,Under Construction,1778.0,0,0,0,0,0,1,49
flat,vatika iris floors,sector 82,0.63,5590.0,2,2,3+,2.0,Relatively Old,1026.0,1,0,0,0,0,1,110
flat,corona optus,sector 37c,1.4,7035.0,3,3,3+,4.0,Relatively Old,1890.0,0,1,0,0,0,1,149
flat,unitech south park,sector 70,1.13,7001.0,3,3,2,1.0,Under Construction,1457.0,0,0,0,0,0,1,46
house,hero homes,sector 104,1.95,21196.0,3,5,3+,2.0,Moderate Old,920.0,0,0,0,0,0,1,64
flat,shree vardhman victoria,sector 70,1.75,8974.0,3,5,0,0.0,Relatively Old,1950.0,0,0,0,0,0,1,47
flat,indiabulls centrum park,sector 103,2.45,8522.0,4,4,3,11.0,Relatively Old,2602.0,1,1,1,1,0,1,38
house,vatika signature villas,sector 82,4.7,21759.0,3,3,3+,3.0,New property,2160.0,0,1,0,0,0,1,33
house,independent,sector 28,0.7,8102.0,2,2,0,2.0,Old property,864.0,0,0,0,0,0,1,7
flat,m3m soulitude,sector 89,1.3,8701.0,3,3,2,1.0,New property,1179.0,0,0,0,0,1,1,45
house,international city by sobha phase 2,sector 109,6.5,12037.0,4,4,3+,1.0,New property,5400.0,0,1,0,0,0,2,160
flat,signature global the millennia,sector 37d,0.55,9167.0,2,2,3,3.0,New property,543.0,0,0,0,0,0,1,53
