property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,vipul lavanya,sector 81,0.64,5263.0,1216.0,Carpet area: 1225 (113.81 sq.m.),2,2,3,12.0,East,Relatively Old,,,1225.0,0,0,0,0,0,2,93,608.0
flat,m3m heights,sector 65,2.86,13999.0,2043.0,Carpet area: 2040 (189.52 sq.m.),3,3,3,45.0,East,Under Construction,,,2040.0,0,1,0,0,0,1,48,681.0
flat,emaar mgf the palm drive,sector 66,3.5,15909.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2125 sq.ft. (197.42 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3,7.0,North-East,Moderate Old,2200.0,2125.0,2000.0,0,1,1,0,0,2,149,733.3333333333334
house,greenopolis,sector 89,0.7,5397.0,1297.0,Built Up area: 1297 (120.5 sq.m.),2,2,2,14.0,North-East,Undefined,,1297.0,,0,0,0,0,0,1,0,648.5
flat,dlf the skycourt,sector 86,1.54,9222.0,1670.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3,3,3+,15.0,North-West,Relatively Old,1929.0,1780.0,1670.0,0,1,0,0,0,1,174,556.6666666666666
house,vipul tatvam villa,sector 48,8.25,38194.0,2160.0,Plot area 350(292.64 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),4,4,3+,3.0,North-East,Relatively Old,,300.0,240.0,0,1,1,0,0,2,160,540.0
house,international city by sobha phase 1,sector 109,6.1,25103.0,2430.0,Plot area 270(225.75 sq.m.),5,6,3+,2.0,,Moderate Old,,2430.0,,0,1,0,0,0,1,30,486.0
flat,the arzoo cghs,sector 51,2.1,9130.0,2300.0,Built Up area: 2300 (213.68 sq.m.),4,4,3,1.0,,Relatively Old,,2300.0,,0,0,0,0,0,1,58,575.0
flat,corona optus,sector 37c,1.25,7176.0,1742.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,North-West,Relatively Old,1735.0,,1400.0,1,0,0,0,0,1,49,580.6666666666666
flat,lotus homz,sector 111,0.7,10057.0,696.0,Carpet area: 696 (64.66 sq.m.),2,2,2,8.0,East,Relatively Old,,,696.0,0,0,0,0,0,1,68,348.0
